Guid,Name,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__ProductRule__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
d6a5d66d-5180-4bdd-9cb1-a6af9732c359,11,Approval_Level__c,Static Value,equals,false,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
2ab1a1e7-710f-422d-9446-56495e144cbd,12,Product__c,Field Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
a2c6e105-a813-463e-84b5-faa923fe4d8a,13,Upper_Bound_Percent__c,Field Value,less than,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
849591ce-ef9e-49a5-9c30-9dc6218d792a,14,Lower_Bound_Percent__c,Field Value,greater or equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
7602e994-7be0-4f5a-b217-9bf7376dd159,15,Engineering_Options__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
36f794e7-dedb-44ba-af66-865ea293b90f,16,Role__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
5336dbc7-2bbc-46a7-a7cd-13ba7ffd5194,17,Lower_Bound_Percent__c,Field Value,greater or equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
22941687-6e1b-4a6e-b813-125eeddf6672,18,Role__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
613de5b6-b849-4a43-b89a-f459a7f3ba23,19,Upper_Bound_Percent__c,Field Value,less than,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
dc61cb9f-a0b9-42b8-a3e3-359a61b671b4,20,Approval_Level__c,Static Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
5833086b-9fdc-435a-8f38-7c406fe3eb69,21,Product__c,Field Value,equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
41843b5c-1ac2-4940-a6ca-4476cdee5096,22,Product__c,Field Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
f4b598e1-381c-4406-b05a-3eb100f4dad9,23,Lower_Bound_Percent__c,Field Value,greater or equals,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
45eebf1d-ac08-4616-b703-96eeaf0f94ab,24,Role__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
2e09241c-aa1a-433b-a5d1-98841b8e85d2,25,Resource_Location__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
c2b22e38-5dcf-42d9-9e4e-e72529b8c9db,26,Approval_Level__c,Static Value,equals,false,db6197ac-388a-4af7-92d0-c84458a2b0a3,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
7d56a515-7711-4498-8f8b-880c39f99cc1,27,Product__c,Field Value,equals,false,4ca2961b-7724-44b7-96f2-8a55c03ae7ae,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
16d98824-6eb3-4c83-9cea-e6ac9bac529b,28,Approval_Level__c,Static Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
bb21ef85-10b7-4e0c-86e4-1fbc421160ae,29,Approval_Level__c,Static Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
c3aef19a-6547-478c-ab48-361bdfa5a1af,30,Product__c,Field Value,equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
f03311e1-3842-4936-b42d-b0c02bc07db9,31,Engineering_Options__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
